,Crime,Severity,Latitude,Longitude,Day,Hour
3077,MOTOR VEHICLE THEFT,6,37.866936,-122.296218,Wednesday,23
3078,BURGLARY - VEHICLE,2,37.885413,-122.268753,Friday,21
3079,FRAUD,7,37.875189,-122.294176,Sunday,8
3080,DRUG VIOLATION,10,37.873909,-122.268233,Wednesday,20
3081,BURGLARY - VEHICLE,2,37.847442,-122.281175,Friday,23
3082,BURGLARY - VEHICLE,2,37.868263,-122.296013,Thursday,18
3083,LARCENY,1,37.881757,-122.251163,Monday,13
3084,DRUG VIOLATION,10,37.862877,-122.290055,Friday,22
3085,LARCENY,1,37.868957,-122.254552,Friday,22
3086,FRAUD,7,37.861571,-122.271722,Thursday,20
3087,BURGLARY - COMMERCIAL,11,37.880227,-122.26936,Saturday,0
3088,BURGLARY - COMMERCIAL,11,37.862512,-122.290094,Wednesday,3
3089,BURGLARY - VEHICLE,2,37.859889,-122.278167,Friday,0
3090,SEX CRIME,17,37.870213,-122.293749,Friday,2
3091,LARCENY,1,37.880227,-122.26936,Friday,18
